name,value
Adidas,43
Alsér,56
Andro,24
Animus,51
Arbalest,67
Armstrong,25
Artengo,26
ARTTE,55
Avalox,15
Banco,13
Banda,27
Butterfly,1
Cornilleau,14
Darker,2
Dawei,3
DHS,5
Donic,4
Dr Neubauer,6
Friendship,19
Gambler,52
Gewo,60
Giant Dragon,44
Globe,31
Hallmark,32
Huaruite,57
Hunter,45
Joola,7
Juic,35
LKT (KTL),18
Loki,64
Metal TT,61
Mizuno,50
Neottec,58
Nexy,46
Nimatsu,68
Nittaku,8
OSP,47
Palio,20
Perfect Blade,66
Pro Pro,63
Reactor,23
Sanwei,17
Sauer & Tröger,59
SpinLord,53
Stiga,9
Sunflex,40
TelaiGAL,65
Tibhar,10
TSP,11
Ulmo,42
Victas,49
Vodak,54
Xiom,41
XVT,48
Yasaka,12
Yinhe (Galaxy/Milkyway),16
